PostalCode|zones_name|zones_region|subzones_name|postal_code_source
536638|Serangoon|North East Region||CONDO
439869|Marine Parade|Central Region||CONDO
559940|Serangoon|North East Region||CONDO
547143|Hougang|North East Region||CONDO
486908|Bedok|East Region||CONDO
466164|Bedok|East Region||CONDO
425837|Bedok|East Region||CONDO
487013|Tampines|East Region||CONDO
454938|Bedok|East Region||CONDO
509039|Pasir Ris|East Region||CONDO
288453|Bukit Timah|Central Region||CONDO
424877|Marine Parade|Central Region||CONDO
438364|Marine Parade|Central Region||CONDO
429248|Marine Parade|Central Region||CONDO
126865|Clementi|West Region||CONDO
347483|Toa Payoh|Central Region||CONDO
757110|Sembawang|North Region||CONDO
556024|Serangoon|North East Region||CONDO
677727|Choa Chu Kang|West Region||CONDO
545934|Hougang|North East Region||CONDO
519817|Pasir Ris|East Region||CONDO
425606|Bedok|East Region||CONDO
507464|Pasir Ris|East Region||CONDO
507540|Pasir Ris|East Region||CONDO
118904|Queenstown|Central Region||CONDO
457514|Bedok|East Region||CONDO
239320|River Valley|Central Region||CONDO
809400|Serangoon|North East Region||CONDO
579450|Ang Mo Kio|North East Region||CONDO
658278|Bukit Batok|West Region||CONDO
387394|Geylang|Central Region||CONDO
788932|Ang Mo Kio|North East Region||CONDO
249333|River Valley|Central Region||CONDO
588276|Bukit Timah|Central Region||CONDO
804818|Serangoon|North East Region||CONDO
804820|Serangoon|North East Region||CONDO
465606|Bedok|East Region||CONDO
275869|Bukit Timah|Central Region||CONDO
308574|Novena|Central Region||CONDO
328995|Kallang|Central Region||CONDO
424294|Geylang|Central Region||CONDO
129136|Clementi|West Region||CONDO
578132|Bishan|Central Region||CONDO
426812|Bedok|East Region||CONDO
507548|Pasir Ris|East Region||CONDO
769451|Sembawang|North Region||CONDO
426572|Geylang|Central Region||CONDO
279158|Bukit Timah|Central Region||CONDO
459365|Bedok|East Region||CONDO
418307|Bedok|East Region||CONDO
809889|Serangoon|North East Region||CONDO
759942|Sembawang|North Region||CONDO
428020|Bedok|East Region||CONDO
467738|Bedok|East Region||CONDO
389781|Geylang|Central Region||CONDO
266382|Bukit Timah|Central Region||CONDO
576443|Bishan|Central Region||CONDO
576444|Bishan|Central Region||CONDO
489509|Tampines|East Region||CONDO
489510|Tampines|East Region||CONDO
554363|Serangoon|North East Region||CONDO
268743|Bukit Timah|Central Region||CONDO
534171|Hougang|North East Region||CONDO
159029|Bukit Merah|Central Region||CONDO
534924|Hougang|North East Region||CONDO
159027|Bukit Merah|Central Region||CONDO
159028|Bukit Merah|Central Region||CONDO
159026|Bukit Merah|Central Region||CONDO
548966|Hougang|North East Region||CONDO
799157|Sengkang|North East Region||CONDO
357985|Serangoon|North East Region||CONDO
559799|Serangoon|North East Region||CONDO
806232|Ang Mo Kio|North East Region||CONDO
428441|Marine Parade|Central Region||CONDO
388887|Kallang|Central Region||CONDO
419482|Bedok|East Region||CONDO
418030|Bedok|East Region||CONDO
276260|Bukit Timah|Central Region||CONDO
428188|Bedok|East Region||CONDO
599119|Bukit Timah|Central Region||CONDO
128739|Clementi|West Region||CONDO
579492|Ang Mo Kio|North East Region||CONDO
539801|Hougang|North East Region||CONDO
459806|Bedok|East Region||CONDO
576795|Bishan|Central Region||CONDO
487750|Bedok|East Region||CONDO
128984|Clementi|West Region||CONDO
348257|Toa Payoh|Central Region||CONDO
808411|Serangoon|North East Region||CONDO
465552|Bedok|East Region||CONDO
349730|Toa Payoh|Central Region||CONDO
429772|Geylang|Central Region||CONDO
299131|Novena|Central Region||CONDO
578814|Bishan|Central Region||CONDO
359727|Serangoon|North East Region||CONDO
808023|Serangoon|North East Region||CONDO
534884|Hougang|North East Region||CONDO
597768|Bukit Timah|Central Region||CONDO
554487|Serangoon|North East Region||CONDO
678818|Bukit Panjang|West Region||CONDO
269462|Bukit Timah|Central Region||CONDO
799029|Hougang|North East Region||CONDO
457136|Bedok|East Region||CONDO
309170|Novena|Central Region||CONDO
786139|Yishun|North Region||CONDO
286765|Bukit Timah|Central Region||CONDO
688621|Choa Chu Kang|West Region||CONDO
576520|Bishan|Central Region||CONDO
248624|Tanglin|Central Region||CONDO
308063|Novena|Central Region||CONDO
329246|Kallang|Central Region||CONDO
589196|Bukit Timah|Central Region||CONDO
688484|Choa Chu Kang|West Region||CONDO
423382|Bedok|East Region||CONDO
567952|Ang Mo Kio|North East Region||CONDO
576397|Bishan|Central Region||CONDO
668161|Bukit Batok|West Region||CONDO
547739|Serangoon|North East Region||CONDO
575365|Bishan|Central Region||CONDO
557573|Serangoon|North East Region||CONDO
439294|Marine Parade|Central Region||CONDO
489866|Bedok|East Region||CONDO
398226|Geylang|Central Region||CONDO
276642|Bukit Timah|Central Region||CONDO
419532|Bedok|East Region||CONDO
309192|Novena|Central Region||CONDO
767998|Yishun|North Region||CONDO
804819|Serangoon|North East Region||CONDO
266454|Bukit Timah|Central Region||CONDO
128945|Clementi|West Region||CONDO
579439|Ang Mo Kio|North East Region||CONDO
398207|Geylang|Central Region||CONDO
466277|Bedok|East Region||CONDO
489648|Tampines|East Region||CONDO
488164|Bedok|East Region||CONDO
829753|Punggol|North East Region||CONDO
287387|Bukit Timah|Central Region||CONDO
577122|Bishan|Central Region||CONDO
249591|River Valley|Central Region||CONDO
249892|Tanglin|Central Region||CONDO
277863|Bukit Timah|Central Region||CONDO
554670|Serangoon|North East Region||CONDO
534385|Hougang|North East Region||CONDO
389065|Kallang|Central Region||CONDO
658297|Bukit Batok|West Region||CONDO
555909|Serangoon|North East Region||CONDO
419530|Bedok|East Region||CONDO
545535|Hougang|North East Region||CONDO
128978|Clementi|West Region||CONDO
535785|Serangoon|North East Region||CONDO
459004|Bedok|East Region||CONDO
128980|Clementi|West Region||CONDO
358473|Toa Payoh|Central Region||CONDO
358474|Toa Payoh|Central Region||CONDO
358454|Toa Payoh|Central Region||CONDO
358472|Toa Payoh|Central Region||CONDO
358453|Toa Payoh|Central Region||CONDO
358455|Toa Payoh|Central Region||CONDO
804822|Serangoon|North East Region||CONDO
259504|Tanglin|Central Region||CONDO
804824|Serangoon|North East Region||CONDO
786038|Yishun|North Region||CONDO
428106|Geylang|Central Region||CONDO
425497|Bedok|East Region||CONDO
679376|Bukit Panjang|West Region||CONDO
348483|Toa Payoh|Central Region||CONDO
279413|Bukit Timah|Central Region||CONDO
266287|Bukit Timah|Central Region||CONDO
455002|Bedok|East Region||CONDO
804607|Serangoon|North East Region||CONDO
588104|Bukit Timah|Central Region||CONDO
688477|Choa Chu Kang|West Region||CONDO
658257|Bukit Batok|West Region||CONDO
679817|Bukit Panjang|West Region||CONDO
618384|Jurong West|West Region||CONDO
577152|Bishan|Central Region||CONDO
309270|Novena|Central Region||CONDO
567916|Ang Mo Kio|North East Region||CONDO
418178|Bedok|East Region||CONDO
219706|Kallang|Central Region||CONDO
809650|Ang Mo Kio|North East Region||CONDO
428849|Marine Parade|Central Region||CONDO
535983|Toa Payoh|Central Region||CONDO
286672|Bukit Timah|Central Region||CONDO
786132|Yishun|North Region||CONDO
804878|Serangoon|North East Region||CONDO
829498|Punggol|North East Region||CONDO
358050|Serangoon|North East Region||CONDO
537142|Hougang|North East Region||CONDO
279910|Bukit Timah|Central Region||CONDO
308721|Novena|Central Region||CONDO
535607|Hougang|North East Region||CONDO
279827|Bukit Timah|Central Region||CONDO
738277|Woodlands|North Region||CONDO
425673|Bedok|East Region||CONDO
439865|Marine Parade|Central Region||CONDO
127788|Clementi|West Region||CONDO
427400|Geylang|Central Region||CONDO
779222|Yishun|North Region||CONDO
648658|Jurong West|West Region||CONDO
807886|Serangoon|North East Region||CONDO
458711|Bedok|East Region||CONDO
804630|Serangoon|North East Region||CONDO
389088|Kallang|Central Region||CONDO
576294|Ang Mo Kio|North East Region||CONDO
779227|Yishun|North Region||CONDO
559686|Serangoon|North East Region||CONDO
328365|Novena|Central Region||CONDO
357729|Serangoon|North East Region||CONDO
547893|Hougang|North East Region||CONDO
98653|Bukit Merah|Central Region||CONDO
809230|Serangoon|North East Region||CONDO
578640|Bishan|Central Region||CONDO
359654|Serangoon|North East Region||CONDO
806406|Ang Mo Kio|North East Region||CONDO
779223|Yishun|North Region||CONDO
568616|Ang Mo Kio|North East Region||CONDO
119699|Queenstown|Central Region||CONDO
757646|Sembawang|North Region||CONDO
289338|Bukit Timah|Central Region||CONDO
267266|Bukit Timah|Central Region||CONDO
467197|Bedok|East Region||CONDO
575986|Bishan|Central Region||CONDO
578298|Ang Mo Kio|North East Region||CONDO
806038|Serangoon|North East Region||CONDO
548457|Hougang|North East Region||CONDO
359508|Serangoon|North East Region||CONDO
299270|Novena|Central Region||CONDO
455890|Bedok|East Region||CONDO
349932|Toa Payoh|Central Region||CONDO
806707|Ang Mo Kio|North East Region||CONDO
438107|Marine Parade|Central Region||CONDO
486686|Tampines|East Region||CONDO
577607|Ang Mo Kio|North East Region||CONDO
424160|Bedok|East Region||CONDO
276927|Bukit Timah|Central Region||CONDO
598008|Bukit Timah|Central Region||CONDO
468856|Bedok|East Region||CONDO
436885|Kallang|Central Region||CONDO
465933|Bedok|East Region||CONDO
458387|Bedok|East Region||CONDO
368569|Geylang|Central Region||CONDO
598927|Bukit Timah|Central Region||CONDO
219604|Kallang|Central Region||CONDO
129021|Clementi|West Region||CONDO
428201|Bedok|East Region||CONDO
534214|Hougang|North East Region||CONDO
539653|Hougang|North East Region||CONDO
648816|Jurong West|West Region||CONDO
556866|Serangoon|North East Region||CONDO
789820|Ang Mo Kio|North East Region||CONDO
387935|Geylang|Central Region||CONDO
398410|Geylang|Central Region||CONDO
423571|Geylang|Central Region||CONDO
349698|Toa Payoh|Central Region||CONDO
596581|Bukit Timah|Central Region||CONDO
436700|Marine Parade|Central Region||CONDO
507413|Pasir Ris|East Region||CONDO
266626|Bukit Timah|Central Region||CONDO
507228|Pasir Ris|East Region||CONDO
804821|Serangoon|North East Region||CONDO
786202|Ang Mo Kio|North East Region||CONDO
598312|Bukit Timah|Central Region||CONDO
596486|Bukit Timah|Central Region||CONDO
789719|Ang Mo Kio|North East Region||CONDO
219315|Kallang|Central Region||CONDO
759110|Mandai|North Region||CONDO
669945|Bukit Batok|West Region||CONDO
579610|Bishan|Central Region||CONDO
658263|Bukit Batok|West Region||CONDO
418434|Bedok|East Region||CONDO
456062|Bedok|East Region||CONDO
465481|Bedok|East Region||CONDO
418899|Bedok|East Region||CONDO
757103|Sembawang|North Region||CONDO
437277|Marine Parade|Central Region||CONDO
424207|Bedok|East Region||CONDO
308656|Novena|Central Region||CONDO
127500|Clementi|West Region||CONDO
545009|Hougang|North East Region||CONDO
418894|Bedok|East Region||CONDO
559258|Serangoon|North East Region||CONDO
587993|Bukit Timah|Central Region||CONDO
559078|Serangoon|North East Region||CONDO
419265|Bedok|East Region||CONDO
739907|Sungei Kadut|North Region||CONDO
487653|Bedok|East Region||CONDO
768122|Yishun|North Region||CONDO
419261|Bedok|East Region||CONDO
579010|Bishan|Central Region||CONDO
416480|Bedok|East Region||CONDO
487056|Bedok|East Region||CONDO
456585|Bedok|East Region||CONDO
739688|Sungei Kadut|North Region||CONDO
267304|Bukit Timah|Central Region||CONDO
508047|Pasir Ris|East Region||CONDO
229001|Newton|Central Region||CONDO
788326|Yishun|North Region||CONDO
128979|Clementi|West Region||CONDO
804530|Ang Mo Kio|North East Region||CONDO
757109|Sembawang|North Region||CONDO
588317|Bukit Timah|Central Region||CONDO
388261|Geylang|Central Region||CONDO
309431|Novena|Central Region||CONDO
559726|Serangoon|North East Region||CONDO
287399|Bukit Timah|Central Region||CONDO
436578|Marine Parade|Central Region||CONDO
259848|Tanglin|Central Region||CONDO
458622|Bedok|East Region||CONDO
807926|Serangoon|North East Region||CONDO
509228|Pasir Ris|East Region||CONDO
279561|Bukit Timah|Central Region||CONDO
806044|Serangoon|North East Region||CONDO
576888|Bishan|Central Region||CONDO
487856|Tampines|East Region||CONDO
486497|Bedok|East Region||CONDO
689399|Bukit Batok|West Region||CONDO
769891|Sembawang|North Region||CONDO
559688|Serangoon|North East Region||CONDO
786285|Ang Mo Kio|North East Region||CONDO
459795|Bedok|East Region||CONDO
806253|Ang Mo Kio|North East Region||CONDO
809955|Serangoon|North East Region||CONDO
278643|Bukit Timah|Central Region||CONDO
359965|Serangoon|North East Region||CONDO
307656|Novena|Central Region||CONDO
248774|Tanglin|Central Region||CONDO
548818|Hougang|North East Region||CONDO
556533|Serangoon|North East Region||CONDO
468493|Bedok|East Region||CONDO
488826|Bedok|East Region||CONDO
757112|Sembawang|North Region||CONDO
488184|Bedok|East Region||CONDO
618488|Jurong West|West Region||CONDO
219599|Kallang|Central Region||CONDO
465794|Bedok|East Region||CONDO
547964|Hougang|North East Region||CONDO
279094|Bukit Timah|Central Region||CONDO
269173|Bukit Timah|Central Region||CONDO
307984|Novena|Central Region||CONDO
554356|Serangoon|North East Region||CONDO
519691|Pasir Ris|East Region||CONDO
538157|Hougang|North East Region||CONDO
574332|Bishan|Central Region||CONDO
286883|Bukit Timah|Central Region||CONDO
538630|Serangoon|North East Region||CONDO
455551|Bedok|East Region||CONDO
465593|Bedok|East Region||CONDO
276893|Bukit Timah|Central Region||CONDO
466254|Bedok|East Region||CONDO
425040|Marine Parade|Central Region||CONDO
787375|Yishun|North Region||CONDO
789510|Ang Mo Kio|North East Region||CONDO
555598|Serangoon|North East Region||CONDO
678939|Bukit Panjang|West Region||CONDO
229632|Newton|Central Region||CONDO
266877|Bukit Timah|Central Region||CONDO
348827|Toa Payoh|Central Region||CONDO
429518|Marine Parade|Central Region||CONDO
427048|Geylang|Central Region||CONDO
455603|Bedok|East Region||CONDO
466615|Bedok|East Region||CONDO
248531|Tanglin|Central Region||CONDO
648748|Jurong West|West Region||CONDO
547088|Hougang|North East Region||CONDO
576009|Bishan|Central Region||CONDO
436754|Marine Parade|Central Region||CONDO
465566|Bedok|East Region||CONDO
228313|Newton|Central Region||CONDO
573889|Bishan|Central Region||CONDO
508681|Pasir Ris|East Region||CONDO
426337|Bedok|East Region||CONDO
286877|Bukit Timah|Central Region||CONDO
466978|Bedok|East Region||CONDO
788944|Ang Mo Kio|North East Region||CONDO
536789|Hougang|North East Region||CONDO
789210|Ang Mo Kio|North East Region||CONDO
588894|Bukit Timah|Central Region||CONDO
249390|River Valley|Central Region||CONDO
429466|Marine Parade|Central Region||CONDO
787314|Yishun|North Region||CONDO
458430|Bedok|East Region||CONDO
786049|Yishun|North Region||CONDO
486179|Bedok|East Region||CONDO
597971|Bukit Timah|Central Region||CONDO
159956|Queenstown|Central Region||CONDO
574082|Ang Mo Kio|North East Region||CONDO
558766|Serangoon|North East Region||CONDO
269773|Bukit Timah|Central Region||CONDO
538175|Hougang|North East Region||CONDO
548197|Hougang|North East Region||CONDO
128741|Clementi|West Region||CONDO
427522|Geylang|Central Region||CONDO
465803|Bedok|East Region||CONDO
465598|Bedok|East Region||CONDO
276421|Bukit Timah|Central Region||CONDO
287869|Bukit Timah|Central Region||CONDO
418831|Bedok|East Region||CONDO
428679|Marine Parade|Central Region||CONDO
757124|Sembawang|North Region||CONDO
229723|Orchard|Central Region||CONDO
596918|Bukit Timah|Central Region||CONDO
546355|Hougang|North East Region||CONDO
599697|Bukit Timah|Central Region||CONDO
419276|Bedok|East Region||CONDO
568944|Ang Mo Kio|North East Region||CONDO
438916|Geylang|Central Region||CONDO
416918|Bedok|East Region||CONDO
288086|Bukit Timah|Central Region||CONDO
428164|Bedok|East Region||CONDO
598529|Bukit Timah|Central Region||CONDO
689883|Choa Chu Kang|West Region||CONDO
287514|Bukit Timah|Central Region||CONDO
759199|Mandai|North Region||CONDO
808291|Serangoon|North East Region||CONDO
757640|Sembawang|North Region||CONDO
555943|Serangoon|North East Region||CONDO
689887|Choa Chu Kang|West Region||CONDO
689884|Choa Chu Kang|West Region||CONDO
689879|Choa Chu Kang|West Region||CONDO
578542|Bishan|Central Region||CONDO
689881|Choa Chu Kang|West Region||CONDO
689882|Choa Chu Kang|West Region||CONDO
689886|Choa Chu Kang|West Region||CONDO
689880|Choa Chu Kang|West Region||CONDO
804982|Serangoon|North East Region||CONDO
689885|Choa Chu Kang|West Region||CONDO
557539|Serangoon|North East Region||CONDO
559616|Serangoon|North East Region||CONDO
287036|Bukit Timah|Central Region||CONDO
486315|Bedok|East Region||CONDO
805700|Serangoon|North East Region||CONDO
228262|Newton|Central Region||CONDO
538079|Hougang|North East Region||CONDO
387991|Geylang|Central Region||CONDO
455417|Bedok|East Region||CONDO
277806|Bukit Timah|Central Region||CONDO
419799|Bedok|East Region||CONDO
428121|Geylang|Central Region||CONDO
457931|Bedok|East Region||CONDO
299273|Novena|Central Region||CONDO
757125|Sembawang|North Region||CONDO
597219|Clementi|West Region||CONDO
536599|Serangoon|North East Region||CONDO
688657|Choa Chu Kang|West Region||CONDO
258359|Tanglin|Central Region||CONDO
768695|Yishun|North Region||CONDO
768694|Yishun|North Region||CONDO
768697|Yishun|North Region||CONDO
658260|Bukit Batok|West Region||CONDO
425676|Bedok|East Region||CONDO
804823|Serangoon|North East Region||CONDO
559683|Serangoon|North East Region||CONDO
600123|Jurong East|West Region||CONDO
578409|Ang Mo Kio|North East Region||CONDO
486529|Bedok|East Region||CONDO
277302|Bukit Timah|Central Region||CONDO
537954|Hougang|North East Region||CONDO
648746|Jurong West|West Region||CONDO
589958|Bukit Timah|Central Region||CONDO
669376|Bukit Batok|West Region||CONDO
229633|Newton|Central Region||CONDO
279682|Bukit Timah|Central Region||CONDO
298056|Novena|Central Region||CONDO
779275|Yishun|North Region||CONDO
357993|Serangoon|North East Region||CONDO
307960|Novena|Central Region||CONDO
118850|Queenstown|Central Region||CONDO
577851|Bishan|Central Region||CONDO
574823|Ang Mo Kio|North East Region||CONDO
556277|Serangoon|North East Region||CONDO
677765|Bukit Panjang|West Region||CONDO
786055|Yishun|North Region||CONDO
248032|Tanglin|Central Region||CONDO
457639|Bedok|East Region||CONDO
574468|Ang Mo Kio|North East Region||CONDO
419540|Bedok|East Region||CONDO
259286|Tanglin|Central Region||CONDO
258988|Tanglin|Central Region||CONDO
459195|Bedok|East Region||CONDO
545260|Sengkang|North East Region||CONDO
425060|Marine Parade|Central Region||CONDO
804935|Serangoon|North East Region||CONDO
465579|Bedok|East Region||CONDO
539995|Hougang|North East Region||CONDO
466336|Bedok|East Region||CONDO
577339|Bishan|Central Region||CONDO
417100|Bedok|East Region||CONDO
679050|Bukit Panjang|West Region||CONDO
419488|Bedok|East Region||CONDO
98182|Southern Islands|Central Region||CONDO
507432|Pasir Ris|East Region||CONDO
418020|Bedok|East Region||CONDO
597155|Clementi|West Region||CONDO
786954|Yishun|North Region||CONDO
809938|Serangoon|North East Region||CONDO
436687|Marine Parade|Central Region||CONDO
567877|Ang Mo Kio|North East Region||CONDO
258047|Tanglin|Central Region||CONDO
518422|Pasir Ris|East Region||CONDO
299006|Novena|Central Region||CONDO
298532|Novena|Central Region||CONDO
486465|Bedok|East Region||CONDO
786600|Yishun|North Region||CONDO
358087|Serangoon|North East Region||CONDO
567908|Ang Mo Kio|North East Region||CONDO
416990|Bedok|East Region||CONDO
239365|River Valley|Central Region||CONDO
268796|Bukit Timah|Central Region||CONDO
289246|Bukit Timah|Central Region||CONDO
507340|Pasir Ris|East Region||CONDO
578385|Ang Mo Kio|North East Region||CONDO
248137|Tanglin|Central Region||CONDO
469470|Bedok|East Region||CONDO
809672|Ang Mo Kio|North East Region||CONDO
429185|Marine Parade|Central Region||CONDO
536619|Serangoon|North East Region||CONDO
574603|Ang Mo Kio|North East Region||CONDO
465641|Bedok|East Region||CONDO
648471|Jurong West|West Region||CONDO
369780|Geylang|Central Region||CONDO
287127|Bukit Timah|Central Region||CONDO
429960|Marine Parade|Central Region||CONDO
278782|Bukit Timah|Central Region||CONDO
688596|Choa Chu Kang|West Region||CONDO
468016|Bedok|East Region||CONDO
688572|Choa Chu Kang|West Region||CONDO
426442|Geylang|Central Region||CONDO
117471|Queenstown|Central Region||CONDO
309836|Novena|Central Region||CONDO
539659|Hougang|North East Region||CONDO
418321|Bedok|East Region||CONDO
807821|Serangoon|North East Region||CONDO
259187|Tanglin|Central Region||CONDO
358203|Serangoon|North East Region||CONDO
467595|Bedok|East Region||CONDO
417618|Bedok|East Region||CONDO
488654|Bedok|East Region||CONDO
348245|Toa Payoh|Central Region||CONDO
546419|Hougang|North East Region||CONDO
739898|Sungei Kadut|North Region||CONDO
669382|Bukit Batok|West Region||CONDO
276576|Bukit Timah|Central Region||CONDO
688656|Choa Chu Kang|West Region||CONDO
534613|Hougang|North East Region||CONDO
688422|Choa Chu Kang|West Region||CONDO
258356|Tanglin|Central Region||CONDO
554353|Serangoon|North East Region||CONDO
557580|Serangoon|North East Region||CONDO
459880|Bedok|East Region||CONDO
129096|Clementi|West Region||CONDO
535393|Hougang|North East Region||CONDO
688756|Choa Chu Kang|West Region||CONDO
568446|Serangoon|North East Region||CONDO
277315|Bukit Timah|Central Region||CONDO
573887|Bishan|Central Region||CONDO
573886|Bishan|Central Region||CONDO
368622|Toa Payoh|Central Region||CONDO
559288|Serangoon|North East Region||CONDO
558846|Serangoon|North East Region||CONDO
577977|Bishan|Central Region||CONDO
808559|Serangoon|North East Region||CONDO
298412|Novena|Central Region||CONDO
436582|Marine Parade|Central Region||CONDO
425652|Bedok|East Region||CONDO
369445|Geylang|Central Region||CONDO
558608|Serangoon|North East Region||CONDO
787086|Ang Mo Kio|North East Region||CONDO
